scuba_F_158d3_-21d6
scuba_F_158d0_-20d5
scuba_F_158d0_-20d5
scuba_F_158d0_-20d5
scuba_F_158d0_-20d5
scuba_F_173d3_-13d5
none
scuba_F_25d2_5d2
scuba_F_31d9_5d3
scuba_F_31d9_5d3
scuba_F_31d9_5d3
scuba_F_53d2_3d3
scuba_F_45d1_-7d1
scuba_F_103d3_15d7
scuba_F_167d6_-19d3
scuba_F_178d6_-19d8
scuba_F_174d4_-13d7
scuba_F_174d4_-13d7
scuba_F_174d4_-13d7
none
none
scuba_F_353d1_16d8
scuba_F_353d7_16d0
scuba_F_353d1_16d8
scuba_F_1d3_21d5
scuba_F_0d2_-17d3
scuba_F_0d2_-17d3
scuba_F_339d1_15d9
none
345	500	1	0	1	1
198	205	1	1	1	1
181	219	1	1	1	0
166	195	1	1	1	0
162	191	0	0	1	1
124	92	1	1	1	1
0	0	0	0	0	0
462	263	1	1	1	1
410	212	0	0	1	1
393	191	0	0	1	0
387	199	1	0	0	0
238	183	1	0	0	1
623	401	1	1	1	1
632	85	1	1	1	0
67	250	0	0	1	0
318	140	1	1	1	1
498	594	1	1	1	0
450	477	1	0	1	1
231	525	1	1	1	1
0	0	0	0	0	0
0	0	0	0	0	0
259	286	1	0	0	0
255	645	0	1	0	1
368	431	0	1	1	0
64	189	0	1	0	0
75	85	0	1	0	0
71	78	0	0	1	0
589	568	1	1	1	1
0	0	0	0	0	0
