c      1.25000  0.000153634
c      1.65000   0.00354732
c      2.16000    0.0626225
c      6.07914      1.26008
c      7.71358      1.53140
c      10.3102      1.45814
c      11.8998      2.26872
c      13.9389      3.06385
c      15.9305      3.24335
c      17.8663      4.75482
c      19.4519      5.71184
c      22.0290      8.17386
c      24.0612      9.67266
c      26.0088      10.7330
c      27.9564      11.7213
c      29.9886      12.4492
      60.0000       38.775582	0.0
      70.0000       55.171989	0.0
      80.0000       70.227554	0.0
      90.0000       93.584107	0.0
      110.000       158.55011	0.0
      120.000       173.67479	0.0
      130.000       191.92325	0.0
      140.000       201.34720	0.0
      150.000       201.20480	0.0
      160.000       207.93727	0.0
      170.000       194.67255	0.0
      180.000       189.52465	0.0
      450.000      20.13	17.3
      850.000      1.58	22.9
c      1200.00      1.17300	30.0
      1300.00     0.821000	30.0
